,sentiment,content
19696,neutral,SATS  what the its just around the corner.
19717,neutral,rainy season-- here it comes!
19722,neutral,@erinmusicluver  i thought you liked the name
19728,neutral,i totally do not know how ticketless travel works
19731,neutral,@Rosie_G_Yo oh I wuld go w/ you..... im takn off to class right now. boo
19733,neutral,@Vonnieee I found a link on WWE.com  http://www.wwe.com/inside/industrynews/kennedyreleased stinks!
19735,neutral,lost at home depot  http://yfrog.com/13ti6j
19736,neutral,@bhans  Bring me food before you go please.
19739,neutral,"@UndressJess Wish could, but riding a tour from Chicago back to Iowa."
19748,neutral,Going to bed in a bit. Need to revise 2moro.
19751,neutral,@imreallywildin u callin me grimmy
19755,neutral,juicystar007 kicked me out of blogtv cuz i really wanted her to call me.
19758,neutral,no more brother for 2 weeks.....
19772,neutral,"If we don't pack, she can't leave, right?"
19778,neutral,@ChristinaFaith this is the worst
19780,neutral,@crazygolfa I think that plus everyone wants to see if the D-train could keep it going - obviously not.  Hopefully he'll bounce back.
19785,neutral,I gots the sniffles
19799,neutral,mann i had no idea hp a/c adapters were worth like eighty bucks  wine* it's gonna be a while till i can use my lap top
19801,neutral,Wants to game tonight with her friends
19806,neutral,"needs to write term paper by monday  busy tonight, busy tomorrow, busy sunday  shit. i need to fix my priorities."
19811,neutral,@Bffleck My Friday made me miss high school
19822,neutral,@ColdHearted19 woop right am off to &quot;try&quot; to get 2 sleep haha its 2 hot  have a good nightt x
19826,neutral,@1critic and Boat is dining Bones in Peru - double
19833,neutral,"@caroldn Okay, no more driving.  I know... I know... you are correct to say that."
19839,neutral,The bus is rolling along faster than expected. I might make it home by 6:15. Maybe.
19840,neutral,work soonnnnnn  it's looking rly dead today...
19851,neutral,my picture wont come up  it keeps saying thats a nice picture! but where is it??
19860,neutral,@EssinEm ohh no the poor cupcake  #wave @TLGame
19864,neutral,@SoozInSports ouch
19867,neutral,@crucifixxus dude what is your sn nowadays because i think i lost yours
19877,neutral,"@bennsu @dj_diva I know, I know...lol   That is the ONE song that stops me in my tracks on a dancefloor.  I just can't...lol"
19884,neutral,hanging out wit the family kinda boredd reading eclipse  MISSING MY GODFATHER
19899,neutral,"@kathuerun Hehe. I have the ZSG. Should probably go over it again. Also, Mike has moved up to Orillia, so his arsenal isn't so available."
19902,neutral,@JelaniFr3sh  boo. I used to live in upland... Have funnnn
19904,neutral,@Kes1807 Dunno if I like longer hair on Jensen.
19916,neutral,(@ohmyjade) 1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I'm tired. 7-Aaaand I'm out.
19919,neutral,Why is #Apple so expensive...
19921,neutral,Follow Friday rickbaker24 i only have 6 friends
19933,neutral,@enoelle1177 she is all grown up
19944,neutral,Daaaaang. Up: in 3D.. Sold out
19946,neutral,I don't wanna work!
19947,neutral,@gabriellenadine carnivalsofparis i think i still have yours on my bl but i'm not sure... i hardly talk to anyone anymore
19948,neutral,"@algarcia3505 I want to get all dressed up and go out to, but I to have no one to go with, I'm with you mentor"
19957,neutral,@Eumiko uhhhh..... yeah.... I don't tweet a lot nowadays quite lazy to do so.  this month has always been about college.
19959,neutral,@dfizzy ya I would so loose my appetite
19961,neutral,@justgrimes - yep saw that paper immediately after completing the test essay saying i didn't know of research on it
19973,neutral,@Gen22 I can't blip right now!
19975,neutral,"@cadistra Think wearing bermudas at the cinema wasn't a good idea after all, but outside was humid like cwazy!"
19980,neutral,"pavement is boiling hot out there, dogs were limping.    guess summer's officially here."
19985,neutral,"Well, another family was chosen for the child we interviewed for  back to looking for another kid"
19987,neutral,@1995shand not quite as much...hmmm products in US that are not in Canada?? Idk  Do you have covergirl?
19997,neutral,watching the notebook
20002,neutral,just got home from a meeting with the girls... Maaaaaan I'm exhausted!! Goodnight world
20003,neutral,@db0y8199 lol thats the kind im eating!!
20012,neutral,needs a break from the computer... adios  &lt;3
20014,neutral,Time for me to sleep........
20015,neutral,@paulcarr I just laughed out loud on the bus reading your statement of ethics. People moved away. He he he.
20017,neutral,character designs complete! .... in about a week we'll give another sneak peak... stay posted!
20018,neutral,@lmchugh fingers crossed for you.
20031,neutral,"Monday is here, One more day"
20036,neutral,I need to get some shut eye... But I just can't let's try 1 more time. Ta Ta Twitterworld
20037,neutral,@RealBillBailey morning Bill
20040,neutral,Cleaning my room and listening to britney.
20045,neutral,@lexiphanic  cheap and good system  http://bit.ly/Fgl2Y
20049,neutral,@DavidArchie so what cereal do you usually like?
20051,neutral,Mmmm Chilli Crab &amp; Deal Or No Deal.....And thats life !
20052,neutral,wish I was at #eurodjangocon
20055,neutral,goin to bed
20062,neutral,watching the office......... also comedy gold
20064,neutral,Grand Indonesia with mom n sisters...
20071,neutral,"@MrPhotographic Happy b-day! Just woke up on this side of Earth, so wishes are bit late"
20072,neutral,Hank Thompson ï¿½ The Big One Got Away -- hmm... how old do you have to be to remember THIS?  ? http://blip.fm/~5jboh
20077,neutral,I just dyededed my hair
20083,neutral,cieee @Cronatic potong rambuuuut!
20092,neutral,@iMBA Ur welcome
20095,neutral,seepin'.
20105,neutral,Download movie  &quot;81st Annual Academy Awards Pre-Show&quot; http://tinyurl.com/cdue53 cool #movie
20115,neutral,"Paving your own road is intelligent only if nobody has gone exactly where you are going, come follow me"
20118,neutral,@Tittch Just file me under *seduced* sweetie...
20120,neutral,is twittering
20128,neutral,@DavidArchie Have a great day today David!  May you write some wonderful masterpieces!
20134,neutral,we just drove all the way to Hollywood just to get a Miley Cyrus milkshake... at least it was like an orgasm in my mouth
20135,neutral,@akarshsimha: Started using the branch
20136,neutral,anyone got an FFE account? if so.. add me
20137,neutral,@lilmarshmellow 1 pm...
20138,neutral,"@theblackbug I realized that I think 4 weeks into college, welcome to the otherside"
20144,neutral,"Time to watch OP, then some Dead Like Me, then sleep."
20147,neutral,@mohandoss ?????? ???????? ????? ????????. ????? ?????????   @anbudan_bala thanx for the sixer comment
20149,neutral,@Melissa808 yup...they've stopped in hawaii for a few seasons already. are you talking about this season? hope they come back again
20151,neutral,"@Lodewijkvdb Don't worry, you'll get your stamina back soon  What kind of distances do you run usually?"
20153,neutral,@amytcathy at least you get to watch Lost on the way
20159,neutral,@leeprovoost Is it that quiet at the office?
20160,neutral,"http://twitpic.com/4j8yk - Thelma, Rebeca, Fernanda Symonds, Fernanda Cordova"
20161,neutral,@misspretty1981 thank u!!! u kno ppl already look @ my chest ne ways might as well give them somethng to throw them off! LOL!
20169,neutral,@TessMorris fine! Going to do my big walk today 20 or so miles
20172,neutral,"@amystow I know, but work is so boring. I prefer the @2oceansvibe take on life"
20178,neutral,"@DavidArchie if there is a tesco nearby, then go there"
20182,neutral,"http://tr.im/kp06 Surrealism in a cute way - Louis Votton &quot;Superflat Monogram&quot; - Takashi Murakami, Music by Fantastic Plastic Machine"
20183,neutral,@joycescapade COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...
20185,neutral,"Stoppped following ama, i really need a clean break... on another note, kate is being super nice right now  Off to work"
20194,neutral,I've worked my finger tips bare today coding. But we got there.
20195,neutral,wake up...and go make breakfast..
20196,neutral,@LadyRubaiyat It will warm up once you start digging
20199,neutral,can't sleep so i'm watching some more Gilmore Girls
20200,neutral,feels like spammers season .....is called summer season
20217,neutral,@SaraHDanger Haha I think we're all in the same situation! lol
20223,neutral,"@gawd0r Yeah, my dad calls me Taltal, but it was taken on AOL back in 96, so I added a K for my last name, coincidence is Tal Talk."
20225,neutral,Someone in UNITED STATES liked Jelly Blocks http://tinyurl.com/dgpr7q
20226,neutral,@Nadiney I went for the sweetheart.. Well see how things turn out..
20228,neutral,"@sterestherster Adem in, adem uit"
20229,neutral,@ODWGOOG Absolutely ...
20232,neutral,@oliviamunn How long before the Frisbee Golfer &quot;accidentally&quot; catches one in the back of the head from his friend
20234,neutral,"@ravenousraven check out her new song &quot;sentimental, wat-a-joke-ental&quot; she's a fren  www.last.fm/music/marple+meg"
20235,neutral,@carlosefonseca I can give you the contact of the person who makes those cheesecakes!
20244,neutral,"Listening to the commentary track on Holiday Inn. Never thought I'd see Bing Crosby in black face, but the rest of the movie was cute"
20247,neutral,@TerriCook  oh hi terri good now what about you? any good gossip
20248,neutral,is debating giving twitter a proper go. now to try and understand it
20250,neutral,@littlemissjoey You didn't get a public holiday today? bwahah
20252,neutral,"Once again another late night.  But I scored a mojito, so ..."
20258,neutral,@AndyP007 Any tips for someone who has only made it 52 on Flight Control?
20259,neutral,"@lilazngurl1234 hi there, nice to meet you.  I am new to twitter and I guess you are too?"
20260,neutral,alrightttt twitter. i have netball nowww  this is my 600th twitter haha  byeeeee
20263,neutral,@druey Merlin wasn't too bad. Already watched it on BT of course
20265,neutral,Writing my first tweet
20273,neutral,@Victoria808 Wanted to get that piercing too but thought it would be distracting to others when I was giving presentations. U think?
20274,neutral,"@Mattro heh, i meant differences between b3 and b4"
20276,neutral,@rosiecd is it for dinner? the amount for dinner ones is greater than say an afternoon snack. a pack for the day is prob ok.
20278,neutral,@Elmo824 tegan and sara fan? follow them @theteganandsara
20282,neutral,"todays line up: more work on OS bluetooth app, a brief stint with Uniservity and if I get time some CS4 tutorials... busy bank holiday"
20283,neutral,i really needa find more stastics
20286,neutral,"waiting for my friend to come over, so we can hang out!"
20288,neutral,British Expat Tweet Tommy and the Giant Sprout: Especially for Fly  as part of sprout seaso.. http://tinyurl.com/c7kvb6
20292,neutral,"time to relieve stress at the gym!! Someone should write speeches, take exams and do research for me"
20293,neutral,Im doing a cause in retail
20294,neutral,@Moni7 Moni Love...u get all da credit I wouldn't be shit on twitter w/o u...cus I wouldn't kno how 2 do shit on here ! Thanks Boo
20297,neutral,upgraded
20299,neutral,the rain bring back some memories
20300,neutral,@jordinsilver So long as they hold your wine without tipping.
20305,neutral,"@DavidArchie Good luck with your breakfast search. But here in the US, I have to go to bed. lol. Goodnight David."
20307,neutral,Looking forward to the new week with the presentation of my book in a store in Dillingen today and some interesting sales seminars
20309,neutral,"@hassmanm Nemï¿½m zdrojï¿½ky Mozilly ani Perl, takï¿½e z?stanu u svï¿½ vï¿½ry ve schopnosti Ohlohu"
20319,neutral,"@erickaxx it would hurt only when you touch it or when it gets hit. But when you don't, it won't  but after a month it wouldn't hurt na!"
20323,neutral,@farrahdy take a medicine
20324,neutral,@Rove1974 heyy
20329,neutral,goin' to casa milan's club house...
20334,neutral,@awaisnaseer followed your bro @Junni_Vet
20335,neutral,chatting with the bestest...
20336,neutral,if you cant hide the tweetie icon why not change it   http://twitpic.com/4j92o
20337,neutral,"@andrewagarcia That's what's up hah. I'm great, thanks  Just waiting for all the craziness to take off."
20344,neutral,@MrRvM ruilen?
20351,neutral,"@mgorbach They actually use standard speaker wire between them too, with standard terminals, so no soldering involved or anything."
20352,neutral,www.loveisthecure.net is up! Check it out
20354,neutral,@stealthgear indeed
20355,neutral,and we're back in buisiness
20357,neutral,Heading out to do a relay in the Belfast marathon
20358,neutral,@marlooz Clever girl
20361,neutral,"@psymon_spark heheh.  Odd though, I thought a couple of the others I'd done were better"
20367,neutral,@elibrody why.. just continue.. i'll keep sitting with crossed legs
20368,neutral,@issaleuterio did you watch it?
20371,neutral,"@unclelarko not sure I like this way to learn a new language  I prefer to be &quot;on location&quot;, so I can practice, ask Qs and get answers"
20372,neutral,@jp1983 Ahhh Lincoln...i'll run..see you in 2 hours
20373,neutral,forgot about my old twitter account please follow itsjeff i will stop this account soon...i prefer the address that doesnt have my age
20376,neutral,is back from TAFE and has bowling in about an hour
20379,neutral,@srhmae i think 30 bucks and i dunno
20389,neutral,working the graveyard shift!
20390,neutral,@Maxwell5587 wow. hehehe. mushy-mushy mode.
20392,neutral,@dayBdayPolaroid @theteganandsara follow?
20401,neutral,@RobKardashian Hi Rob!
20402,neutral,just got back from rachael's house
20411,neutral,"@BethTana Sci-fi junkie, gamer, pianist, gin and tonic drinker, and news addict"
20412,neutral,Sweet dreams everyone! I am utterly exhausted!!! Nite nite!
20420,neutral,@Felitherandom haha. I hope so. I need sleep! lol. But my phone will get his message if he updates us.
20421,neutral,the best things in life are free  x
20423,neutral,off shopping in southhampton with my mummers
20425,neutral,"@rezadubsteppa Yeah man, been a while since I heard you spittin'."
20426,neutral,@lightgood Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
20428,neutral,"I have been called by my friend the bed. It is time to acknowledge the inevitable.  Goodnight All, Hello Sleep"
20429,neutral,@ben_grubb Sweet... my friend Kevin is joining us (but I have his #). Look 4 the girl carrying a backpack &amp; boulder pad.
20432,neutral,"@machfairy dont be gloomy...go out and get urself ice-cream.or gin,whichever"
20433,neutral,@chkndoodie no need to thank  we all just have to keep the good thought!
20438,neutral,going to Glasgow...
20439,neutral,@mcosare FIL 461 with cool people like me
20441,neutral,@DavidArchie alright!  you should go to the market and haggle them! )
20443,neutral,"@clocsen I accept the blame . But I said &quot;in English&quot; (the language), couldn't say &quot;in British&quot;, could I ?"
20445,neutral,@Gailporter morning to u
20447,neutral,@Imageglow you will have to unfollow some people that are not following you so you can follow new people
20448,neutral,"got hometh  armed with hair dye, a cherry ripe and cosmo"
20460,neutral,STEP 1: be a photoshop expert  http://plurk.com/p/ros47
20469,neutral,lol thats the highlight
20472,neutral,@ehasselbeck braving the standby line @ TheView bright &amp; early today!! hope to hear about your book &amp; hope I get in! 3rd time's the charm
20474,neutral,@ZopflieseJule F...you very very much  willkommen im Twitterland
20478,neutral,@dominicalevina Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
20485,neutral,@Strabismus Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
20487,neutral,@NickHodge Bought the Repo Man soundtrack in the 80s - Pablo Picasso was never called an asshole
20488,neutral,Eighty nine min. And fifty eight sec. New record
20491,neutral,"@nagatep grabe, norms. i researched; dami pala flamenco forms and sub-forms. kaloka!  i attempted a Solea. kaloka ang 12-beat!"
20493,neutral,Hey @deangeloredman Mia!! Go to bed!!    (deangeloredman live &gt; http://ustre.am/2NlC)
20495,neutral,Late news then it's off for some much needed zzzzzzz.......Goodnight Tweets.
20497,neutral,@sdweathers Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
20499,neutral,"If any one is looking for @pembrokedave he is now at @PembsDave  (And if you don't know him yet, follow him anyways, good guy)"
20502,neutral,@RomeBadBoyEnt
20505,neutral,"Do you have a chronic illness blog? Let me know, I'll post your link on my own  www.ptsici.blogspot.com"
20510,neutral,"1 AM &amp; time for bed, nite all"
20512,neutral,I still want a Smartcar!!! Don't they have the most wonderful designs ever?
20517,neutral,@madisonSAYWHAT yeah I imagine you did
20518,neutral,@_cassian is there a game   !
20519,neutral,@blogviet Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
20523,neutral,"i'm gonna eat some chips??!! anybody, want some??? hahaha!"
20525,neutral,"Finished watching Episode 4&amp;5 of Ruby Metaprogramming Screencasts. Lots of cool tips, great! But need to more coding practices to master."
20542,neutral,joining twitter
20554,neutral,Is sooo waking both of them up on my way back to SB  good night america
20556,neutral,@tytel neatza. pe plantatie as usual
20557,neutral,"Morning all, typical grey &amp; wet bank holiday Mon so far today. :/ Off to photo gallery and paint gallery later, may treat myself."
20558,neutral,@nomek is new van a nice one
20561,neutral,@ciaaren  u think i could call u tnite?
20562,neutral,@victortan LOL! It's on the right? I gotta try when I get home. I'm using it at work. So the X is where it should be.
20566,neutral,@missbossy Yeah that's me  I used my initials for my Flickr account!
20574,neutral,@iankintzle Come visit Iowa. k?
20576,neutral,@warzabidul good morning fella   i have the joy of work to do today.  what are your plans?
20583,neutral,@HlywdScrnwriter I've thought about it several times . got a few good friends there!
20584,neutral,@silverbenz Have you heard the song &quot;Purpose&quot; from Avenue Q?  Your post reminds me of that.
20591,neutral,watching JONAS
20593,neutral,"If you keep up with the 140 character limitation, you will soon be writing more like Shakespeare, than a garrulous fourth-grade scribe."
20594,neutral,ajab chizi shode in blog-am :x che axayi ke migiram man
20595,neutral,@rachikus thankyou
20598,neutral,@Liesbetje with your bicycle?
20604,neutral,i just need to sleep
20607,neutral,"My Twitter was born on 12 Feb 09. Today, at this point of time, 4 May 09, 3:56pm (GMT+8), I have 805 tweets (including this one)."
20608,neutral,Listening to Yultron!!
20616,neutral,@Its_Claire its sunny here  I will send some over to you
20619,neutral,@benald Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
20622,neutral,@ByronKatie In our vedanta class we have a saying &quot;Chit Happens&quot; (chit being mind vibrations or thoughts)
20625,neutral,@andysowards quite
20630,neutral,"@Dutchrudder I told 'em that the English have a special quality when it comes to cussing! Welcome to the fun, Dutch!"
20631,neutral,"@WOMENONTOP nope, there's me too."
20637,neutral,@fadeout all you have to do is have your boyfriend say something for me so i can hear his accent.
20640,neutral,is playing around &amp;&amp; having fun with little kids right now  hahahahaha
20644,neutral,@davewat1 Stop what?
20645,neutral,My Chemical Romance Official Sodahead Profile  http://www.sodahead.com/mychemicalromance/
20647,neutral,Anyone to recommend me JP artists with music similar to Soichi Negishi's Amai Koibito?
20657,neutral,@souljaboytellem we are
20659,neutral,@deversum lolz  I'm the other way 'round. My English is better than my Dutch (which is considered weird here :p)
20660,neutral,@TweetNewz Good prices for bulk SMS and Premium SMS too  http://promotion.itagg.com
20661,neutral,30 days till p!nk   babysitting in 15 minutes.
20665,neutral,@DJWiLLGATES
20672,neutral,@zhayrar Aw you are and you're welcome
20673,neutral,"@darrenporter Hehe you're right, I'm not daft  May is a good month to be on a French contract!"
20676,neutral,Happy Meal - B.O.B. toy  http://tinyurl.com/cjtqaf
20677,neutral,@underhill70 oh that totally works too
20684,neutral,is at home
20687,neutral,@Anthaman can u follow me please
20695,neutral,talking to nat
20699,neutral,@nicurrr over herrreeeee
20702,neutral,"New job today, wish me luck peeps"
20703,neutral,"@charelblessed haha, it's okay to be different!"
20707,neutral,@wahliaodotcom Thanks for that!
20709,neutral,@bjamesmusic have a safe ride up the coast. Don't be going 90 even though you can.  when its windy just smile cuz u know u have it better.
20715,neutral,"@GJvManen Nope, kicked that habit more then a year ago"
20718,neutral,back home. man im hungry. getting ready..shopping
20719,neutral,9. shopping 10. Latte with my sis 11. Friday- Meets at the FAU 12. Fire- Steet- Party  13. slowmotion in the park 13. partying my bday
20723,neutral,@ameliafell we realise this
20725,neutral,"at dads, watching some mtv and am going on sims2 in a minutee"
20727,neutral,Morning and hope everyone has a great bank holiday
20728,neutral,I am following Mya
20732,neutral,Just took my IC photo!looks good  - http://tweet.sg
20736,neutral,trent reznor - liddle beotch doesnt get his way. this could be the title
20738,neutral,short stack need to add some more short stack tv
20746,neutral,I see I see
20757,neutral,@jonorossi in between
20763,neutral,is wishing she would get more followers
20764,neutral,"ah, also figuring out when we're going to Rome next. &amp; Venice. @vagrant_saint start thinkin when you wanna go, love!"
20770,neutral,@markwreeve We need to get you a image icon other then the default one
20772,neutral,Video: Todayï¿½s video blog/vlogï¿½thing.  http://tumblr.com/xye1ph36b
20783,neutral,"Has just finished uploading my latest chap  Finally! Now, off to watch the new HappySlip vid :3"
20788,neutral,Startup? looking for an opportunity? check out - http://launchsiliconvalley.org
20790,neutral,hey Twitters
20799,neutral,my newsreader is filling up with blogs  yay! keep pm'ing me your blog sites. I love reading them!
20802,neutral,@LukeDennehy Good to hear  I have a feeling though the 'behind the scenes' and/or being there is better than what is shown on TV!
20807,neutral,"Home, good night world"
20808,neutral,"sO late n' th night i've nearly forgotten my name and backspaced a trillion times... apparently sleep is inevitable, nite*"
20809,neutral,@mariedancerr that songs on tays vid  katy perry.
20810,neutral,"Thinking of ways to promote Indie Designers. Benefiting them and moi  Any thoughts? Indies, what you do have to say?"
20811,neutral,@DavidArchie you finished eating?
20813,neutral,"@MichaelHyatt wow, goin to Ethiopia? Biz? Holiday? Some other mission? Very keen to go there"
20815,neutral,@lein_  Leiiin I can play the introoo
20817,neutral,"@shihadchick take it. mmm, definitely."
20826,neutral,@JustinMGaston Haha! Sometimes mobiles makes us slaves ... but it has its own advantages too!
20829,neutral,@Welshgirl35 Hey  Why thankyou. How's u? x
20831,neutral,Added Twitter updates to @Conceptis Facebook page at http://tinyurl.com/d4cxze wondering if this one will show up...
20835,neutral,"Good morning universe, how are you today"
20839,neutral,"@GreatDismal Wolfram's got a Chinese Room problem: If Chinese (or Bangalorean) hackers can run it without knowing English, why should it?"
20840,neutral,@crazytwism http://twitpic.com/416b7 - hey! nice pic
20841,neutral,Don't Chase Me - Shea Fisher download it
20844,neutral,@kbaxter Bummer yo.  I'm starting up finals too soon...so I guess I'll see you around the second week of June then.
20852,neutral,@MrsSprousex Yars
20854,neutral,"@bhackett Hi, I teach some Chinese lessons on youtube... Feel free to have a look  www.youtube.com/ChineseLearn"
20855,neutral,@SheBeeGee jersey weather - and good on you for the charity drive!
20857,neutral,@ducban &quot;nhi?p ?nh gia&quot; ? ?ï¿½y lï¿½ ch? cï¿½c b?n t? x?ng lï¿½ &quot;?am mï¿½ nhi?p ?nh&quot;. Cï¿½n ng??i thï¿½ch ch?p ?nh thï¿½ 99% dï¿½n s? r?i
20859,neutral,"@dwood7396 Hi, I teach some Chinese lessons on youtube... Feel free to have a look  www.youtube.com/ChineseLearn"
20860,neutral,going to the movies with clancy
20862,neutral,@PaulSweeney  Cloud Croatian Apartments
20867,neutral,@annyo84 we will!  we shall meet somewhere between utah and indiana.
20868,neutral,Going to bed now...good night tweeters
20874,neutral,"i am seriously........ addicted to talking to people haha. but i love it so i don't care. and you can't tell me otherwise, jerk."
20875,neutral,@kellylabanco He's been doing my makeup for YEARS... long before Tyra stole him away from us.
20876,neutral,@willcarling So who's going to win the Heineken Cup?  Just need to know who *not* to bet on
20879,neutral,"@sarahjpin Ha, if i was @juliansimpson, I would be pointing out the irony of that last spelling mistake. With swearing."
20880,neutral,is watching one tree hill
20881,neutral,Going to get me a new roomie today
20886,neutral,@ArunBasilLal Tat PsP! Its ma fathers name. Hw did it end up in ma userid? Long story..  'vishnupsp' is ma user id for almost all sites.
20891,neutral,@emmmaj good song
20894,neutral,DUSTBIN BABY ON AT 11.30 Cannot wait  x
20895,neutral,@angusups Just seeing if anyone was still awake
20896,neutral,@jesse_w T'was not an interview in so much as it was a private chat
20897,neutral,@JennaMadison lol   What are your plans for today (or should I say tomorrow) then ?
20903,neutral,@arhh_ Goodnight
20906,neutral,@Ranronjon why did u copy wot i wrote //hmm
20917,neutral,@ivyandres its a nice pair of shoes. i checked other nike shoes if its worth buying... it is
20921,neutral,@Adrianna perhaps because it's 3 am Minday morning
20922,neutral,Vote for Board of the Month May 2009 (licensed members only) http://tinyurl.com/c8uj28 Good luck everybody
20923,neutral,Make your own Google search page with your name   http://tinyurl.com/c4237j
20930,neutral,@DavidArchie  the website is http://tinyurl.com/c7yojg  idk if the place is around ur area..
20933,neutral,Super duper tired. Going to sleep.  listening to the iPod.
20943,neutral,@8a22a ???!  #MandarinMonday
20949,neutral,when can i ever do a barre chord???
20951,neutral,"This week meet me at OFFF, next Thu, Fri and Sat. And try there MIC and Surface."
20954,neutral,@sketch678 happy star wars day to you
20955,neutral,Well. . . the beginning of a new week and guess where I am. . . at the office  4more days till Friday. . .
20963,neutral,If I loved this any more I'd streak thru the hood damnit ! I'm pumped
20965,neutral,@jennyltd of course i would
20967,neutral,Listening to Awake by Godsmack
20970,neutral,@salspizza I'll oscillate from one to the other.
20973,neutral,@HarryHarley
20976,neutral,@PodRED road trip ftw  am playing with trains today so it's all good here
20982,neutral,"@loveivy Oh, I see. Daily life shots? It'll be interesting as well."
20986,neutral,@Icethevillain hmmm; somewhat.. i would say more spontaneouz
20987,neutral,"@therami well, so are you  but i managed to go to sleep for another couple of hours and wake up again while you're still snoozing"
20993,neutral,@cherrythegreat no problem  i'll  definitely bring some for Gelli
20994,neutral,I'm doing an advert 4 the Make-A-Wish foundation &amp; I can't find photos of kids looking close to death... that's a good thing for the kids
21000,neutral,@KatieAlender ooh which two books did you buy?
21005,neutral,@rohitchauhan This is what pundits are paid for...how will TV channels and websites run otherwise
21006,neutral,watching short stack tv
21008,neutral,"@billyboss Couldn't see one, but I'm probably blind  Do you have a link to it?"
21010,neutral,eating hawain pizza for breakfast  its a bit cold
21011,neutral,"Control which tweets u post on Facebook by using a hashtag, check out this awesome easy app!  http://apps.facebook.com/selectivetwitter/"
21012,neutral,@dbldbl no not yet...
21027,neutral,@charlesjwebster  pleasure  anytime
21033,neutral,@shetouchthesky You should direct your &quot;wanting to invest in @Twitter&quot; questions to @ev or @biz.  They are the big cheeses.
21034,neutral,"@alternatefinch No, it's people you are recommending that others follow, like followfriday, only with pics!"
21036,neutral,@hellokittylei on a day like this...
21037,neutral,Use this link to start earning free cash http://tinyurl.com/coboyf  Just sign up and get paypal cashouts of minimum $1  !!!
21044,neutral,Rocking out to a Shania Twain marathon
21046,neutral,@jlsears poker face
21050,neutral,is heading in to London to meet with @holytshirt and @annwitbrock let us know if you're about  still not sure what time we're meeting.....
21059,neutral,I'm holding Audrey (mine and Erica's bean bag thing)
21066,neutral,I joined twitter to stalk my fav celebs... is that weird?
21070,neutral,@john_ray Bright Eyes=Contentment
21076,neutral,@nicoleburgers i'm getting this assignment done
21079,neutral,@kasey79 yeah that too
21082,neutral,"Going to twitter in english, for my foreign followers"
21086,neutral,playing 'who am i?' with my sister!
21090,neutral,13 days until graduation
21093,neutral,any aussies online? Check out today tonight on Channel 7 .. Very handsome man on tonight ...
21097,neutral,@LiliCosic Morning!How are you feeling?I thought you were taking a laptop hiatus?!
21099,neutral,Morning all - happy Star Wars day - May the 4th be with you!
21103,neutral,Just a reminder to Hydra clients to check your email for important account updates!
21105,neutral,Im off for a bit...tweeet yall later
21106,neutral,transcribing my tenth (and last) report for the night
21114,neutral,"@bronte_saurus So did I... and now you can hear it again and again, if you wish."
21119,neutral,COME ON GIVE HER NICE HOME  http://tinyurl.com/dhgkc9
21129,neutral,@cypher Thanks!
21130,neutral,just got back from donating blood
21132,neutral,good luck nandito. first day of IB exam. you can do it! a road to berkeley.
21138,neutral,East Coast almost wakeup time... for military
21139,neutral,@tracymacy My pleasure
21143,neutral,I meant looking like a tiger - stupid predictive text
21145,neutral,@EmmaK67 Or a Mexican wrestler. They year capes too. You probably haven't the build for it though.
21150,neutral,@monicafrancesca  you have my vote  want to see gino in drag. please post pictures.
21161,neutral,says just passed by to say hi  busy with movie task from school =. = http://plurk.com/p/rozcz
21163,neutral,@JennifeAniston I think is The parent trap &amp; High school musical!!
21164,neutral,"@adawada A towel, a &quot;Sub-Etha Sens-O-Matic&quot; and the Guide ??"
21167,neutral,@zem42 I cannot tell a lie. I did.
21172,neutral,"@tommcfly saw a Costa in St Pancras, but didnt have much time to have a drink over there. next time, i'll try"
21176,neutral,@mohdrafie Theres no such thing
21177,neutral,"@DavidArchie follow Jason Castro, he's following you..I mean, if you want to..just letting you know."
21182,neutral,@daysparkle just like you  jonas
21184,neutral,@nicsknots It's lying
21187,neutral,morning (gmt+1) all! the cult is touring europe this summer! yay! will kick of the day listening to any of their records
21188,neutral,@bamaloo http://tinyurl.com/c33ffv thats what im making for dinner very yummy
21189,neutral,@ElsieTay not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr 'M' shopping place
21195,neutral,@Mahnx Yeah for sure
21200,neutral,is off to JB.
21201,neutral,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)"
21204,neutral,"@sizemore well, its more the word bat (as in baseball) and cock and then viggo  not bat as in tiny little thing"
21208,neutral,@djksly Lol Only if you make me that cookie.  I'll hit you up.
